hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7,etiqueta
1.59534964505202770e-01,1.20854958340235353e-04,5.67071252100561403e-09,6.97866976807207890e-12,1.28284602738722979e-21,7.04572723127555392e-14,-5.30691833054532384e-22,1
1.68096295407707708e-01,2.92541419823537548e-03,7.63641726384382164e-09,2.64191763706683724e-10,3.30930737670424929e-19,1.18991792147479971e-11,-1.76916302099496099e-19,1
1.59158355523064260e-01,7.01904919527004373e-07,2.93867135220636383e-09,1.07052125359223589e-13,1.64428577095533761e-24,-4.11874450841151549e-17,9.49519291861187460e-25,1
2.86621525849036385e-01,2.87574978973808085e-02,4.83567008014834795e-04,7.58341813212563202e-04,4.23444956146360481e-07,1.28210530158189153e-04,1.77714021136612884e-07,2
2.88351531856415266e-01,2.88989533336075667e-02,5.08561254575316162e-04,9.36066326460092187e-04,6.30772697487444716e-07,1.58705949371363729e-04,1.38736597402997154e-07,2
2.86751054758371371e-01,1.69684223576348665e-02,2.70195734351707465e-03,1.40921427173460790e-03,2.74404867376222903e-06,1.78145941798282478e-04,1.78115869472760487e-07,2
3.27117706982892720e-01,4.95331989244025273e-02,2.08239413172884311e-03,5.91384970698932504e-04,6.38190962445511611e-07,8.46692608285782168e-05,1.53007234528766157e-07,2
3.01257137416861775e-01,1.97262261518081627e-02,8.67618055413250759e-03,1.48823784424019132e-03,-4.44344220858159347e-06,-1.83539250811000690e-04,2.97564726319221292e-06,2
3.68995132388714620e-01,5.55586659384932069e-02,1.07902852710556405e-04,1.20417655070552784e-04,1.26688663180161951e-08,7.77689063501494679e-06,-5.28295355088572612e-09,2
2.61998031051727531e-01,9.47132155561041097e-04,8.87395518750301766e-03,9.53336633910522539e-04,1.34194759554738634e-06,2.57293112571196713e-05,2.42650625811866298e-06,2
3.82316735286548526e-01,5.63330614847071046e-02,5.91816118702932076e-03,6.80217399921225038e-04,1.27957169983848928e-06,1.41795774990700473e-04,-4.74700828211955087e-07,2
2.62119410265929387e-01,1.79402417876717603e-02,1.90570903381711654e-04,6.84160342364729512e-04,2.28040050437073175e-07,9.11158515517409705e-05,9.50047170081693302e-08,2
3.08181042235322999e-01,1.34190795021396116e-02,1.36670272301652948e-02,1.61068360852793823e-03,-7.31749251176161928e-06,-1.82200887025703252e-04,-1.88767911056670271e-06,2
2.72359427528962472e-01,3.21523815849439273e-02,7.08486413545236608e-04,6.76404271113130234e-04,4.47890513085263373e-07,1.17140926056721181e-04,1.36563594688174844e-07,2
3.21853328507656467e-01,2.18031045353756572e-02,4.27194099016157784e-03,1.43108437454388831e-03,3.44835486721022147e-06,1.88219195358923586e-04,7.93302148275483543e-07,2
2.35863249010283993e-01,2.55173259168362844e-03,1.75171295706118496e-03,4.46899849181806204e-04,-2.76902069382565858e-07,-1.67755657729983239e-05,2.82265281478978795e-07,2
3.11486824187196587e-01,1.59962405008850991e-02,1.19032622258056532e-02,1.85251916605887711e-03,-8.69298764705498282e-06,-2.34247572919128624e-04,3.27509044188308578e-07,2
2.88996560813164216e-01,1.14114446536428184e-02,4.91723711079528232e-03,1.25651855746102079e-03,3.09751554157133170e-06,1.33897943110158365e-04,-4.00513299004973440e-07,2
2.85851572928702113e-01,1.44894354892256653e-02,5.47971090199027549e-03,1.27384629665771394e-03,-2.75397661950626335e-06,-1.38504767774316089e-04,1.93454178716072443e-06,2
1.68675054602570124e-01,3.10740433135676822e-03,3.40212331498508797e-06,1.29129068034626495e-07,8.13617460342966882e-14,6.62691830320253974e-09,2.65614453086401168e-14,3
1.63057649077547662e-01,2.91593224699454015e-04,8.77897914686125142e-05,5.21294197882430124e-06,1.04724901740688249e-10,8.84238575545191143e-08,-3.83280306874925919e-11,4
